Date time,Temperature,Dew Point,Relative Humidity,Wind Speed,Precipitation,Cloud Cover,Conditions
2023-01-01,11.0,7.9,82.24,14.2,0.1,47.7,"Rain, Partially cloudy"
2023-01-02,10.5,6.8,79.25,14.7,0.0,87.8,Overcast
2023-01-03,15.2,11.3,78.49,28.5,0.0,90.7,Overcast
2023-01-04,15.3,12.8,85.43,22.8,0.0,85.2,Overcast
2023-01-05,13.5,7.8,70.43,20.2,0.0,75.8,Overcast
2023-01-06,8.9,0.1,55.12,34.1,0.0,88.5,Overcast
2023-01-07,6.6,-3.2,50.77,24.7,0.0,61.0,Partially cloudy
2023-01-08,3.3,-2.5,66.25,26.7,0.27,59.7,"Rain, Partially cloudy"
2023-01-09,5.8,-1.9,61.68,27.5,0.0,31.7,Partially cloudy
2023-01-10,4.6,-3.5,57.08,15.8,0.0,60.5,Partially cloudy
2023-01-11,4.4,-0.2,72.91,17.4,0.48,72.8,"Rain, Partially cloudy"
2023-01-12,8.5,5.9,84.19,16.8,3.22,95.3,"Rain, Overcast"
2023-01-13,9.1,3.2,68.34,36.5,6.33,83.5,"Rain, Overcast"
2023-01-14,2.2,-5.2,58.02,39.3,0.0,98.8,Overcast
2023-01-15,2.4,-6.9,51.5,32.7,0.0,17.9,Clear
2023-01-16,5.5,-8.7,39.04,23.8,0.0,36.7,Partially cloudy
2023-01-17,5.2,2.5,83.81,12.9,1.42,90.5,"Rain, Overcast"
2023-01-18,8.8,3.7,73.32,23.7,0.0,42.8,Partially cloudy
2023-01-19,7.0,4.0,81.54,16.0,1.95,97.9,"Rain, Overcast"
2023-01-20,7.8,0.1,61.57,37.7,0.0,75.8,Overcast
2023-01-21,5.1,-3.3,55.31,21.7,0.0,78.7,Overcast
2023-01-22,3.2,0.6,83.14,21.5,5.94,89.3,"Rain, Overcast"
2023-01-23,5.6,0.5,71.82,39.3,2.19,96.2,"Rain, Overcast"
2023-01-24,5.1,-3.5,56.34,16.6,0.0,62.4,Partially cloudy
2023-01-25,4.9,1.9,81.6,18.2,12.06,95.8,"Rain, Overcast"
2023-01-26,7.2,-0.6,60.59,34.4,0.02,75.2,"Rain, Overcast"
2023-01-27,3.9,-6.0,50.07,23.5,0.0,46.9,Partially cloudy
2023-01-28,6.7,-2.9,52.19,21.3,0.0,59.2,Partially cloudy
2023-01-29,7.1,1.9,70.13,21.8,0.89,80.2,"Rain, Overcast"
2023-01-30,9.2,4.9,76.57,14.0,0.0,64.1,Partially cloudy
2023-01-31,5.2,3.1,86.57,23.2,4.2,85.5,"Rain, Overcast"
2023-02-01,2.0,-5.8,59.45,24.6,1.09,81.8,"Rain, Overcast"
2023-02-02,2.2,-5.3,59.18,18.2,0.0,94.5,Overcast
2023-02-03,-0.2,-11.9,43.4,45.2,0.0,54.6,Partially cloudy
2023-02-04,-4.2,-16.6,37.87,27.3,0.0,27.8,Partially cloudy
2023-02-05,6.8,-5.4,42.59,28.9,0.0,79.7,Overcast
2023-02-06,8.7,-0.1,54.98,32.3,0.0,65.0,Partially cloudy
2023-02-07,5.2,-0.6,67.54,18.5,0.0,66.2,Partially cloudy
2023-02-08,11.8,1.8,53.07,23.9,0.0,85.6,Overcast
2023-02-09,12.8,6.3,65.12,25.8,0.0,87.9,Overcast
2023-02-10,14.2,3.7,50.96,34.1,0.0,70.4,Partially cloudy
2023-02-11,7.3,-5.2,41.28,28.5,0.0,80.9,Overcast
2023-02-12,4.2,0.1,75.57,29.1,20.45,91.3,"Rain, Overcast"
2023-02-13,8.2,-3.9,46.84,25.4,0.57,62.2,"Rain, Partially cloudy"
2023-02-14,8.9,-1.3,51.32,16.5,0.0,56.6,Partially cloudy
2023-02-15,13.5,4.4,55.27,27.0,0.27,82.3,"Rain, Overcast"
2023-02-16,12.5,10.2,86.4,18.1,3.48,90.3,"Rain, Overcast"
2023-02-17,10.8,6.3,75.5,40.5,17.25,88.9,"Rain, Overcast"
2023-02-18,2.7,-8.1,45.64,33.9,0.0,31.6,Partially cloudy
2023-02-19,9.3,0.0,54.01,32.3,0.0,64.6,Partially cloudy
2023-02-20,11.3,5.7,69.29,20.3,0.0,86.6,Overcast
2023-02-21,12.3,3.5,59.08,25.3,0.28,72.5,"Rain, Partially cloudy"
2023-02-22,9.2,0.1,54.03,19.8,0.5,86.9,"Rain, Overcast"
2023-02-23,13.9,7.5,67.98,17.4,0.0,53.3,Partially cloudy
2023-02-24,12.6,-2.6,35.67,44.4,0.0,44.2,Partially cloudy
2023-02-25,2.5,-3.8,65.36,19.4,0.27,92.2,"Rain, Overcast"
2023-02-26,6.8,2.0,73.25,21.7,0.0,67.3,Partially cloudy
2023-02-27,7.6,0.9,64.63,20.6,4.14,80.9,"Rain, Overcast"
2023-02-28,9.3,4.6,74.43,23.7,2.73,70.5,"Rain, Partially cloudy"
2023-03-01,9.0,4.4,74.83,25.6,0.0,40.7,Partially cloudy
2023-03-02,12.9,6.6,69.26,20.2,1.32,86.1,"Rain, Overcast"
2023-03-03,7.4,2.7,73.17,24.9,5.54,90.9,"Rain, Overcast"
2023-03-04,9.6,1.5,60.31,43.9,1.87,53.7,"Rain, Partially cloudy"
2023-03-05,10.2,-0.2,52.91,32.9,0.0,20.7,Clear
2023-03-06,9.2,-0.8,50.94,15.8,0.0,53.6,Partially cloudy
2023-03-07,8.2,-4.0,46.63,42.6,0.0,46.4,Partially cloudy
2023-03-08,6.5,-6.1,40.26,34.5,0.0,15.3,Clear
2023-03-09,7.7,-2.5,49.24,20.3,0.0,35.5,Partially cloudy
2023-03-10,6.5,2.4,75.64,16.6,3.8,90.7,"Rain, Overcast"
2023-03-11,5.9,-2.9,53.26,39.8,0.0,92.8,Overcast
2023-03-12,3.1,-1.4,72.53,14.2,0.58,75.8,"Rain, Overcast"
2023-03-13,6.2,2.6,78.85,28.7,1.09,96.2,"Rain, Overcast"
2023-03-14,3.6,-7.9,43.37,45.5,0.0,48.0,Partially cloudy
2023-03-15,5.1,-9.6,36.93,42.2,0.0,21.7,Clear
2023-03-16,9.4,-7.7,32.13,25.0,0.0,54.8,Partially cloudy
2023-03-17,12.9,3.3,53.1,31.0,0.3,91.6,"Rain, Overcast"
2023-03-18,8.8,-4.3,41.99,38.1,0.35,77.0,"Rain, Overcast"
2023-03-19,2.8,-12.3,32.3,31.9,0.0,35.7,Partially cloudy
2023-03-20,4.7,-9.1,37.08,18.4,0.0,19.9,Clear
2023-03-21,8.6,-4.5,43.38,15.9,0.0,50.9,Partially cloudy
2023-03-22,13.2,-0.7,40.68,28.9,0.0,84.1,Overcast
